Mes,Subestacao,Consumo(kWh)
Julho,Planalto,1457
Abril,Horizonte,1553
Novembro,Planalto,354
Agosto,Planalto,1756
Maio,Aurora,1943
Julho,Aurora,245
Outubro,Horizonte,382
Marco,Progresso,1093
Julho,Aurora,672
Novembro,Aurora,707
Novembro,Litoral,753
Agosto,Aurora,1506
Maio,Progresso,932
Abril,Litoral,1499
Agosto,Planalto,1302
Agosto,Planalto,573
Marco,Litoral,266
Junho,Litoral,1039
Maio,Litoral,1664
Fevereiro,Horizonte,424
Agosto,Progresso,85
Dezembro,Progresso,825
Junho,Planalto,77
Fevereiro,Planalto,1445
Dezembro,Planalto,135
Maio,Aurora,237
Janeiro,Planalto,354
Dezembro,Litoral,815
Outubro,Planalto,1495
Junho,Litoral,129
Dezembro,Horizonte,235
Setembro,Aurora,1078
Janeiro,Aurora,607
Novembro,Progresso,1939
Novembro,Horizonte,1570
Outubro,Litoral,558
Dezembro,Horizonte,1687
Dezembro,Aurora,1020
Marco,Litoral,1075
Dezembro,Horizonte,266
Julho,Aurora,1610
Abril,Litoral,306
Setembro,Litoral,1808
Marco,Aurora,1526
Maio,Litoral,1497
Marco,Aurora,373
Julho,Planalto,1572
Maio,Planalto,1654
Setembro,Litoral,246
Julho,Litoral,553
Fevereiro,Aurora,1345
Abril,Litoral,743
Setembro,Progresso,1008
Dezembro,Planalto,67
Fevereiro,Litoral,156
Outubro,Litoral,1602
Setembro,Horizonte,174
Outubro,Litoral,532
Maio,Progresso,1667
Fevereiro,Planalto,1077
Abril,Horizonte,676
Dezembro,Aurora,400
Dezembro,Aurora,400
Julho,Planalto,698
Dezembro,Aurora,1872
Agosto,Progresso,950
Marco,Litoral,277
Janeiro,Planalto,65
Abril,Horizonte,1883
Fevereiro,Litoral,474
Agosto,Aurora,513
Abril,Aurora,773
Fevereiro,Horizonte,1319
Junho,Progresso,1871
Junho,Horizonte,843
Outubro,Planalto,226
Abril,Horizonte,592
Junho,Aurora,558
Fevereiro,Progresso,1635
Outubro,Progresso,1728
Dezembro,Horizonte,613
Fevereiro,Planalto,282
Outubro,Aurora,1751
Abril,Litoral,1111
Agosto,Progresso,540
Julho,Horizonte,1066
Dezembro,Planalto,493
Setembro,Planalto,69
Agosto,Aurora,1684
Maio,Progresso,1800
Fevereiro,Aurora,1629
Maio,Litoral,160
Agosto,Litoral,536
Outubro,Litoral,138
Setembro,Planalto,1392
Dezembro,Progresso,1191
Dezembro,Aurora,483
Dezembro,Aurora,1991
Setembro,Litoral,1312
Janeiro,Progresso,121
Setembro,Progresso,871
Julho,Horizonte,1978
Setembro,Progresso,1472
Agosto,Progresso,865
Janeiro,Aurora,453
Dezembro,Progresso,1748
Agosto,Progresso,300
Agosto,Aurora,918
Novembro,Progresso,1268
Marco,Aurora,1645
Janeiro,Horizonte,1683
Agosto,Planalto,917
Marco,Aurora,1940
Marco,Aurora,1658
Janeiro,Progresso,1295
Novembro,Aurora,1704
Maio,Litoral,1255
Outubro,Litoral,945
Julho,Horizonte,1803
Outubro,Aurora,305
Setembro,Progresso,1981
Dezembro,Progresso,1161
Julho,Planalto,922
Setembro,Horizonte,1860
Agosto,Progresso,541
Dezembro,Planalto,385
Fevereiro,Progresso,1611
Janeiro,Planalto,1480
Julho,Litoral,682
Julho,Litoral,1362
Agosto,Progresso,411
Maio,Horizonte,1514
Marco,Aurora,1103
Dezembro,Horizonte,968
Agosto,Horizonte,1787
Junho,Aurora,943
Novembro,Litoral,1621
Marco,Litoral,686
Janeiro,Aurora,1296
Marco,Planalto,796
Maio,Horizonte,1197
Marco,Progresso,732
Janeiro,Litoral,1052
Maio,Progresso,1056
Outubro,Aurora,742
Julho,Progresso,264
Julho,Progresso,167
Novembro,Horizonte,276
Setembro,Aurora,940
Outubro,Progresso,493
Outubro,Litoral,598
Dezembro,Aurora,878
Marco,Litoral,1681
Julho,Planalto,1705
Janeiro,Progresso,1510
Abril,Aurora,61
Abril,Litoral,1195
Maio,Progresso,1620
Julho,Horizonte,538
Julho,Litoral,1324
Novembro,Litoral,628
Abril,Planalto,1555
Julho,Horizonte,1623
Novembro,Planalto,1353
Marco,Horizonte,791
Junho,Litoral,1410
Dezembro,Planalto,217
Fevereiro,Progresso,1010
Outubro,Horizonte,1401
Setembro,Litoral,1319
Maio,Aurora,1664
Junho,Horizonte,1699
Dezembro,Horizonte,1374
Dezembro,Progresso,1802
Dezembro,Horizonte,249
Dezembro,Horizonte,1966
Abril,Progresso,1573
Novembro,Progresso,913
Outubro,Planalto,803
Julho,Litoral,1086
Dezembro,Litoral,1439
Setembro,Planalto,1792
Julho,Litoral,823
Janeiro,Horizonte,146
Janeiro,Planalto,120
Setembro,Planalto,1042
