Mes,Subestacao,Consumo(kWh)
Julho,Litoral,1779
Abril,Litoral,1873
Novembro,Progresso,1067
Agosto,Aurora,1008
Maio,Horizonte,1331
Julho,Aurora,1130
Outubro,Litoral,1130
Marco,Planalto,1576
Julho,Progresso,432
Novembro,Litoral,1927
Novembro,Horizonte,444
Agosto,Horizonte,1300
Maio,Horizonte,1142
Abril,Horizonte,1123
Agosto,Aurora,1099
Agosto,Litoral,914
Marco,Horizonte,1643
Junho,Litoral,1331
Maio,Litoral,915
Fevereiro,Planalto,287
Agosto,Aurora,1020
Dezembro,Planalto,180
Junho,Progresso,448
Fevereiro,Progresso,65
Dezembro,Progresso,119
Maio,Planalto,1790
Janeiro,Litoral,246
Dezembro,Progresso,620
Outubro,Progresso,1074
Junho,Planalto,918
Dezembro,Litoral,1663
Setembro,Progresso,1298
Janeiro,Aurora,664
Novembro,Progresso,272
Novembro,Planalto,883
Outubro,Planalto,931
Dezembro,Aurora,1156
Dezembro,Litoral,280
Marco,Aurora,435
Dezembro,Progresso,1828
Julho,Planalto,1470
Abril,Litoral,1291
Setembro,Progresso,1037
Marco,Aurora,960
Maio,Progresso,377
Marco,Aurora,286
Julho,Horizonte,1138
Maio,Horizonte,919
Setembro,Planalto,1631
Julho,Litoral,549
Fevereiro,Planalto,141
Abril,Progresso,785
Setembro,Horizonte,1124
Dezembro,Planalto,1956
Fevereiro,Aurora,1167
Outubro,Litoral,1952
Setembro,Horizonte,1234
Outubro,Litoral,930
Maio,Litoral,214
Fevereiro,Horizonte,1540
Abril,Aurora,121
Dezembro,Aurora,1476
Dezembro,Aurora,1840
Julho,Litoral,1363
Dezembro,Aurora,1768
Agosto,Progresso,1614
Marco,Progresso,1516
Janeiro,Aurora,1967
Abril,Aurora,436
Fevereiro,Horizonte,1578
Agosto,Horizonte,1046
Abril,Planalto,1930
Fevereiro,Litoral,606
Junho,Litoral,363
Junho,Horizonte,345
Outubro,Progresso,1709
Abril,Planalto,314
Junho,Horizonte,761
Fevereiro,Planalto,348
Outubro,Litoral,1823
Dezembro,Litoral,1598
Fevereiro,Litoral,288
Outubro,Progresso,548
Abril,Horizonte,1170
Agosto,Planalto,1578
Julho,Horizonte,922
Dezembro,Litoral,721
Setembro,Litoral,1990
Agosto,Horizonte,1670
Maio,Aurora,1508
Fevereiro,Aurora,1041
Maio,Horizonte,1601
Agosto,Litoral,737
Outubro,Planalto,1377
Setembro,Aurora,618
Dezembro,Horizonte,1910
Dezembro,Progresso,277
Dezembro,Horizonte,1864
Setembro,Litoral,1670
Janeiro,Horizonte,744
Setembro,Aurora,1353
Julho,Aurora,1077
Setembro,Horizonte,1339
Agosto,Planalto,701
Janeiro,Horizonte,1115
Dezembro,Planalto,591
Agosto,Aurora,306
Agosto,Progresso,1732
Novembro,Planalto,802
Marco,Horizonte,1238
Janeiro,Litoral,199
Agosto,Litoral,432
Marco,Horizonte,1075
Marco,Aurora,1395
Janeiro,Aurora,344
Novembro,Aurora,1691
Maio,Horizonte,1284
Outubro,Litoral,1688
Julho,Progresso,696
Outubro,Litoral,400
Setembro,Aurora,1603
Dezembro,Horizonte,1586
Julho,Horizonte,114
Setembro,Progresso,1583
Agosto,Litoral,131
Dezembro,Aurora,727
Fevereiro,Progresso,628
Janeiro,Aurora,1603
Julho,Litoral,1991
Julho,Progresso,1977
Agosto,Aurora,1838
Maio,Planalto,343
Marco,Horizonte,1147
Dezembro,Litoral,1716
Agosto,Horizonte,1565
Junho,Aurora,578
Novembro,Progresso,1080
Marco,Aurora,790
Janeiro,Planalto,815
Marco,Planalto,519
Maio,Litoral,1824
Marco,Horizonte,666
Janeiro,Aurora,956
Maio,Planalto,1121
Outubro,Progresso,580
Julho,Aurora,1742
Julho,Litoral,1485
Novembro,Progresso,205
Setembro,Horizonte,1774
Outubro,Litoral,85
Outubro,Horizonte,201
Dezembro,Horizonte,413
Marco,Planalto,1000
Julho,Horizonte,1148
Janeiro,Progresso,1744
Abril,Progresso,682
Abril,Progresso,313
Maio,Aurora,1121
Julho,Planalto,451
Julho,Planalto,785
Novembro,Progresso,1881
Abril,Aurora,1552
Julho,Horizonte,1069
Novembro,Horizonte,1853
Marco,Horizonte,1893
Junho,Planalto,909
Dezembro,Horizonte,1508
Fevereiro,Aurora,937
Outubro,Aurora,1515
Setembro,Horizonte,1708
Maio,Planalto,684
Junho,Litoral,313
Dezembro,Progresso,1860
Dezembro,Horizonte,969
Dezembro,Horizonte,719
Dezembro,Progresso,721
Abril,Litoral,1837
Novembro,Horizonte,1955
Outubro,Horizonte,956
Julho,Litoral,640
Dezembro,Progresso,435
Setembro,Aurora,123
Julho,Horizonte,1523
Janeiro,Horizonte,77
Janeiro,Planalto,444
Setembro,Litoral,173
Novembro,Horizonte,844
Setembro,Planalto,400
Abril,Aurora,156
Setembro,Litoral,1401
Marco,Aurora,1884
Julho,Planalto,440
Junho,Progresso,202
Agosto,Litoral,1858
Novembro,Progresso,1643
Setembro,Planalto,1285
Maio,Litoral,480
Janeiro,Horizonte,453
Marco,Planalto,371
Outubro,Planalto,1651
Dezembro,Aurora,779
Agosto,Progresso,461
Novembro,Litoral,1279
Junho,Litoral,1727
Agosto,Horizonte,1192
Setembro,Litoral,576
Abril,Horizonte,1281
Janeiro,Litoral,1182
Janeiro,Aurora,171
Outubro,Planalto,1176
Abril,Litoral,1940
Dezembro,Planalto,1899
Julho,Progresso,1092
Fevereiro,Planalto,1326
Marco,Progresso,558
Janeiro,Litoral,1685
Maio,Aurora,531
Janeiro,Aurora,352
Agosto,Planalto,1876
Janeiro,Aurora,1719
Novembro,Progresso,377
Janeiro,Aurora,1628
Fevereiro,Aurora,1737
Fevereiro,Aurora,660
Dezembro,Horizonte,79
Junho,Horizonte,220
Julho,Planalto,1549
Maio,Litoral,1473
Janeiro,Litoral,1324
Janeiro,Progresso,582
Marco,Progresso,530
Fevereiro,Planalto,1144
Maio,Horizonte,1084
Dezembro,Aurora,83
Outubro,Horizonte,1196
Junho,Horizonte,1488
Julho,Planalto,1996
Abril,Horizonte,504
Julho,Litoral,606
Novembro,Horizonte,1677
Agosto,Litoral,1981
Novembro,Progresso,726
Janeiro,Progresso,884
Junho,Planalto,1965
Agosto,Aurora,1163
Maio,Horizonte,873
Abril,Aurora,867
Fevereiro,Litoral,802
Junho,Aurora,1874
Junho,Horizonte,1769
Novembro,Aurora,1485
Janeiro,Aurora,135
Setembro,Aurora,708
Dezembro,Planalto,925
Novembro,Aurora,1066
Junho,Horizonte,1534
Marco,Horizonte,1162
Abril,Aurora,757
Dezembro,Planalto,1959
Novembro,Litoral,88
Abril,Aurora,699
Marco,Planalto,1179
Outubro,Progresso,1056
Marco,Horizonte,1418
Marco,Progresso,439
Abril,Horizonte,231
Julho,Litoral,1300
Abril,Planalto,1501
Setembro,Litoral,403
Janeiro,Progresso,1943
Agosto,Planalto,1772
Julho,Progresso,1732
Fevereiro,Aurora,467
Agosto,Progresso,1153
Janeiro,Litoral,646
Novembro,Litoral,695
Dezembro,Aurora,1006
Setembro,Planalto,53
Setembro,Progresso,412
Fevereiro,Progresso,796
Julho,Progresso,1452
Outubro,Planalto,794
Marco,Litoral,1255
Julho,Aurora,1112
Dezembro,Planalto,525
Outubro,Aurora,1981
Setembro,Horizonte,1672
Abril,Aurora,1124
Dezembro,Horizonte,1522
Janeiro,Aurora,570
Fevereiro,Horizonte,983
Janeiro,Progresso,390
Dezembro,Planalto,1911
Maio,Progresso,272
Maio,Litoral,1584
Novembro,Planalto,1067
Julho,Progresso,508
Setembro,Aurora,945
Setembro,Planalto,599
Marco,Aurora,1666
Marco,Progresso,1171
Marco,Planalto,1565
Abril,Progresso,1690
Agosto,Litoral,1628
Junho,Progresso,270
Agosto,Litoral,1638
Janeiro,Progresso,487
Agosto,Planalto,400
Abril,Aurora,79
Novembro,Planalto,1108
Janeiro,Progresso,1710
Agosto,Progresso,1868
Abril,Progresso,1385
Junho,Horizonte,141
Agosto,Litoral,1718
Abril,Aurora,764
Marco,Litoral,1291
Setembro,Progresso,503
Marco,Progresso,1746
Setembro,Litoral,1923
Fevereiro,Litoral,157
Fevereiro,Litoral,1655
Fevereiro,Horizonte,463
Junho,Litoral,127
Marco,Progresso,870
Setembro,Aurora,638
Abril,Planalto,1842
Janeiro,Litoral,710
Abril,Litoral,963
Janeiro,Litoral,1175
