Mes,Subestacao,Consumo(kWh)
Julho,Progresso,304
Abril,Planalto,430
Novembro,Aurora,941
Agosto,Horizonte,591
Maio,Litoral,1337
Julho,Horizonte,1683
Outubro,Planalto,874
Marco,Aurora,928
Julho,Planalto,1402
Novembro,Aurora,1188
Novembro,Progresso,1349
Agosto,Litoral,1561
Maio,Progresso,330
Abril,Progresso,1348
Agosto,Planalto,822
Agosto,Litoral,892
Marco,Aurora,768
Junho,Aurora,1969
Maio,Horizonte,377
Fevereiro,Aurora,260
Agosto,Planalto,776
Dezembro,Progresso,972
Junho,Progresso,601
Fevereiro,Progresso,75
Dezembro,Litoral,76
Maio,Aurora,751
Janeiro,Planalto,1156
Dezembro,Litoral,1969
Outubro,Horizonte,731
Junho,Planalto,462
Dezembro,Planalto,216
Setembro,Planalto,1773
Janeiro,Progresso,218
Novembro,Planalto,1874
Novembro,Aurora,278
Outubro,Planalto,1682
Dezembro,Progresso,416
Dezembro,Planalto,577
Marco,Horizonte,840
Dezembro,Horizonte,1720
Julho,Progresso,1611
Abril,Aurora,1937
Setembro,Aurora,573
Marco,Litoral,1145
Maio,Progresso,1718
Marco,Planalto,155
Julho,Progresso,781
Maio,Litoral,1958
Setembro,Progresso,1014
Julho,Progresso,1762
Fevereiro,Litoral,1355
Abril,Aurora,182
Setembro,Planalto,583
Dezembro,Litoral,1024
Fevereiro,Horizonte,318
Outubro,Aurora,1485
Setembro,Horizonte,722
Outubro,Aurora,1692
Maio,Planalto,840
Fevereiro,Planalto,1938
Abril,Progresso,1820
Dezembro,Horizonte,67
Dezembro,Aurora,1827
Julho,Planalto,166
Dezembro,Litoral,847
Agosto,Planalto,1867
Marco,Litoral,1217
Janeiro,Aurora,1790
Abril,Planalto,600
Fevereiro,Planalto,978
Agosto,Aurora,1739
Abril,Planalto,1761
Fevereiro,Litoral,802
Junho,Planalto,471
Junho,Horizonte,1971
Outubro,Progresso,1442
Abril,Litoral,695
Junho,Horizonte,607
Fevereiro,Aurora,99
Outubro,Litoral,727
Dezembro,Progresso,155
Fevereiro,Progresso,1289
Outubro,Aurora,707
Abril,Aurora,1996
Agosto,Litoral,1498
Julho,Planalto,1145
Dezembro,Aurora,1037
Setembro,Planalto,891
Agosto,Horizonte,1858
Maio,Progresso,1832
Fevereiro,Planalto,495
Maio,Progresso,1998
Agosto,Planalto,1259
Outubro,Horizonte,119
Setembro,Aurora,199
Dezembro,Horizonte,1319
Dezembro,Aurora,823
Dezembro,Aurora,1611
Setembro,Progresso,1725
Janeiro,Horizonte,1172
Setembro,Planalto,1983
Julho,Horizonte,1351
Setembro,Progresso,1636
Agosto,Aurora,1736
Janeiro,Progresso,993
Dezembro,Litoral,504
Agosto,Litoral,1177
Agosto,Planalto,995
Novembro,Progresso,650
Marco,Planalto,702
Janeiro,Planalto,774
Agosto,Litoral,282
Marco,Planalto,1467
Marco,Litoral,1574
Janeiro,Aurora,1768
Novembro,Progresso,300
Maio,Planalto,1594
Outubro,Litoral,128
Julho,Horizonte,1125
Outubro,Planalto,947
Setembro,Aurora,970
Dezembro,Aurora,830
Julho,Horizonte,275
Setembro,Litoral,1124
Agosto,Planalto,1259
Dezembro,Litoral,1107
Fevereiro,Aurora,852
Janeiro,Litoral,791
Julho,Aurora,180
Julho,Litoral,1072
Agosto,Horizonte,681
Maio,Progresso,1516
Marco,Horizonte,887
Dezembro,Horizonte,808
Agosto,Progresso,1505
Junho,Progresso,753
Novembro,Planalto,546
Marco,Planalto,1476
Janeiro,Horizonte,372
Marco,Horizonte,1283
Maio,Aurora,664
Marco,Aurora,378
Janeiro,Planalto,1445
Maio,Planalto,1533
Outubro,Aurora,182
Julho,Aurora,884
Julho,Litoral,700
Novembro,Litoral,170
Setembro,Aurora,655
Outubro,Litoral,1525
Outubro,Progresso,1014
Dezembro,Planalto,178
Marco,Planalto,1164
Julho,Aurora,1677
Janeiro,Horizonte,1648
Abril,Aurora,78
Abril,Litoral,771
Maio,Horizonte,1597
Julho,Litoral,382
Julho,Progresso,1370
Novembro,Litoral,1203
Abril,Progresso,1366
Julho,Progresso,1246
Novembro,Litoral,1793
Marco,Litoral,993
Junho,Progresso,1097
Dezembro,Horizonte,1172
Fevereiro,Progresso,1479
Outubro,Planalto,405
Setembro,Progresso,188
Maio,Horizonte,1576
Junho,Planalto,1899
Dezembro,Aurora,1247
Dezembro,Aurora,78
Dezembro,Horizonte,980
Dezembro,Progresso,545
Abril,Litoral,1063
Novembro,Horizonte,704
Outubro,Planalto,877
Julho,Planalto,400
Dezembro,Aurora,603
Setembro,Planalto,348
Julho,Horizonte,1793
Janeiro,Planalto,1915
Janeiro,Horizonte,1265
Setembro,Litoral,1745
Novembro,Aurora,113
Setembro,Planalto,804
Abril,Horizonte,819
Setembro,Progresso,1737
Marco,Aurora,1288
Julho,Litoral,883
Junho,Horizonte,215
Agosto,Litoral,1616
Novembro,Litoral,1956
Setembro,Planalto,1305
Maio,Planalto,1867
Janeiro,Horizonte,1614
Marco,Progresso,1268
Outubro,Horizonte,555
Dezembro,Progresso,1407
Agosto,Litoral,1841
Novembro,Aurora,842
Junho,Horizonte,1377
Agosto,Horizonte,882
Setembro,Progresso,1510
Abril,Litoral,1396
Janeiro,Litoral,1575
Janeiro,Progresso,907
Outubro,Litoral,1987
Abril,Planalto,1466
Dezembro,Aurora,855
Julho,Horizonte,1672
Fevereiro,Aurora,1222
Marco,Horizonte,810
Janeiro,Planalto,882
Maio,Litoral,1478
Janeiro,Progresso,332
Agosto,Planalto,1435
Janeiro,Aurora,428
Novembro,Progresso,247
Janeiro,Litoral,1064
Fevereiro,Planalto,1073
Fevereiro,Progresso,605
Dezembro,Planalto,405
Junho,Planalto,1613
Julho,Litoral,1502
Maio,Horizonte,1090
Janeiro,Progresso,688
Janeiro,Litoral,428
Marco,Planalto,729
Fevereiro,Litoral,555
Maio,Horizonte,1829
Dezembro,Progresso,948
Outubro,Horizonte,125
Junho,Aurora,280
Julho,Progresso,1789
Abril,Horizonte,1011
Julho,Planalto,1321
Novembro,Progresso,351
Agosto,Progresso,775
Novembro,Litoral,264
Janeiro,Planalto,1231
Junho,Aurora,118
Agosto,Horizonte,442
Maio,Litoral,1158
Abril,Horizonte,316
Fevereiro,Aurora,1142
Junho,Aurora,660
Junho,Progresso,1420
Novembro,Aurora,1058
Janeiro,Horizonte,1011
Setembro,Planalto,777
Dezembro,Planalto,722
Novembro,Progresso,472
Junho,Horizonte,1679
Marco,Horizonte,1247
Abril,Aurora,1750
Dezembro,Horizonte,164
Novembro,Litoral,269
Abril,Aurora,80
Marco,Litoral,1596
Outubro,Progresso,1416
Marco,Planalto,1450
Marco,Progresso,1203
Abril,Planalto,666
Julho,Progresso,588
Abril,Horizonte,788
Setembro,Litoral,1075
Janeiro,Planalto,920
Agosto,Aurora,150
Julho,Litoral,1606
Fevereiro,Aurora,1131
Agosto,Litoral,1462
Janeiro,Litoral,741
Novembro,Progresso,990
Dezembro,Planalto,390
Setembro,Planalto,910
Setembro,Litoral,1093
Fevereiro,Horizonte,1328
Julho,Horizonte,1390
Outubro,Aurora,87
Marco,Aurora,709
Julho,Progresso,1610
Dezembro,Litoral,1459
Outubro,Aurora,1706
Setembro,Aurora,977
Abril,Litoral,1099
Dezembro,Progresso,503
Janeiro,Aurora,1754
Fevereiro,Progresso,1396
Janeiro,Planalto,786
Dezembro,Progresso,1586
Maio,Horizonte,868
Maio,Horizonte,822
Novembro,Progresso,62
Julho,Horizonte,964
Setembro,Planalto,1981
Setembro,Litoral,1633
Marco,Horizonte,970
Marco,Horizonte,874
Marco,Progresso,420
Abril,Planalto,1364
Agosto,Litoral,381
Junho,Progresso,1679
Agosto,Progresso,310
Janeiro,Planalto,1863
Agosto,Litoral,1944
Abril,Planalto,1278
Novembro,Litoral,746
Janeiro,Planalto,736
Agosto,Progresso,999
Abril,Progresso,436
Junho,Aurora,1965
Agosto,Horizonte,870
Abril,Planalto,517
Marco,Aurora,1488
Setembro,Horizonte,118
Marco,Planalto,1545
Setembro,Litoral,1177
Fevereiro,Horizonte,1831
Fevereiro,Progresso,1234
Fevereiro,Aurora,249
Junho,Horizonte,265
Marco,Horizonte,261
Setembro,Progresso,557
Abril,Planalto,65
Janeiro,Litoral,1571
Abril,Progresso,933
Janeiro,Litoral,381
Maio,Planalto,766
Abril,Horizonte,1950
Agosto,Litoral,600
Agosto,Aurora,1674
Julho,Aurora,991
Marco,Progresso,305
Janeiro,Planalto,1041
Janeiro,Progresso,1839
Dezembro,Progresso,777
Novembro,Progresso,929
Marco,Aurora,864
Junho,Aurora,1245
Julho,Progresso,698
Junho,Aurora,1049
Junho,Planalto,1571
Junho,Progresso,520
Marco,Aurora,1457
Junho,Litoral,739
Agosto,Progresso,1662
Novembro,Progresso,749
Novembro,Planalto,556
Fevereiro,Horizonte,1041
Maio,Horizonte,1059
Janeiro,Planalto,1600
Dezembro,Planalto,853
Janeiro,Planalto,880
Maio,Horizonte,1398
Dezembro,Planalto,263
Marco,Aurora,1281
Abril,Progresso,218
Marco,Progresso,1403
Janeiro,Litoral,1353
Janeiro,Litoral,1027
Dezembro,Progresso,1378
Dezembro,Aurora,195
Maio,Horizonte,1848
Junho,Horizonte,565
Marco,Aurora,1163
Dezembro,Horizonte,502
Setembro,Planalto,109
Maio,Progresso,1384
Agosto,Progresso,577
Janeiro,Aurora,1300
Maio,Horizonte,1073
Marco,Litoral,523
Dezembro,Litoral,1614
Janeiro,Horizonte,1736
Abril,Litoral,806
Maio,Aurora,831
Julho,Aurora,1152
Janeiro,Horizonte,482
Marco,Litoral,1874
Fevereiro,Aurora,1226
Setembro,Aurora,1862
Outubro,Planalto,450
Junho,Planalto,1352
Outubro,Aurora,106
Marco,Horizonte,1052
Agosto,Progresso,235
Agosto,Progresso,447
Fevereiro,Aurora,654
Junho,Aurora,837
Julho,Aurora,207
Fevereiro,Horizonte,1860
Novembro,Planalto,1766
Outubro,Aurora,1432
Fevereiro,Aurora,1513
Outubro,Litoral,638
Janeiro,Horizonte,515
Agosto,Aurora,1736
Janeiro,Litoral,495
Setembro,Progresso,1823
Novembro,Aurora,850
Junho,Aurora,1816
Julho,Litoral,1561
Outubro,Horizonte,1603
Julho,Aurora,1146
Outubro,Progresso,978
Marco,Aurora,1774
Fevereiro,Progresso,66
Setembro,Planalto,1604
Agosto,Planalto,780
Dezembro,Progresso,375
