Mes,Subestacao,Consumo(kWh)
Julho,Planalto,425
Abril,Progresso,1532
Novembro,Planalto,1210
Agosto,Litoral,637
Maio,Litoral,1620
Julho,Progresso,562
Outubro,Planalto,1369
Marco,Aurora,1393
Julho,Progresso,967
Novembro,Litoral,1645
Novembro,Litoral,1905
Agosto,Progresso,1422
Maio,Planalto,1913
Abril,Litoral,1852
Agosto,Planalto,922
Agosto,Litoral,1302
Marco,Litoral,319
Junho,Horizonte,1901
Maio,Litoral,847
Fevereiro,Aurora,1364
Agosto,Progresso,774
Dezembro,Progresso,1238
Junho,Planalto,54
Fevereiro,Litoral,900
Dezembro,Aurora,1452
Maio,Planalto,127
Janeiro,Horizonte,1483
Dezembro,Planalto,623
Outubro,Planalto,181
Junho,Litoral,650
Dezembro,Horizonte,1822
Setembro,Planalto,1115
Janeiro,Aurora,138
Novembro,Aurora,451
Novembro,Progresso,345
Outubro,Horizonte,1913
Dezembro,Horizonte,1368
Dezembro,Progresso,665
Marco,Planalto,1599
Dezembro,Horizonte,849
Julho,Aurora,1764
Abril,Aurora,1710
Setembro,Litoral,471
Marco,Horizonte,1938
Maio,Planalto,1096
Marco,Progresso,624
Julho,Progresso,192
Maio,Planalto,1042
Setembro,Litoral,714
Julho,Progresso,194
Fevereiro,Horizonte,1298
Abril,Litoral,1056
Setembro,Horizonte,552
Dezembro,Aurora,870
Fevereiro,Litoral,1689
Outubro,Progresso,153
Setembro,Litoral,1112
Outubro,Litoral,247
Maio,Litoral,1719
Fevereiro,Litoral,628
Abril,Horizonte,440
Dezembro,Aurora,1252
Dezembro,Planalto,603
Julho,Litoral,1521
Dezembro,Progresso,1573
Agosto,Litoral,1088
Marco,Progresso,1696
Janeiro,Horizonte,1742
Abril,Progresso,1362
Fevereiro,Planalto,527
Agosto,Aurora,1304
Abril,Progresso,972
Fevereiro,Progresso,469
Junho,Aurora,206
Junho,Planalto,599
Outubro,Litoral,1514
Abril,Progresso,1170
Junho,Aurora,1070
Fevereiro,Horizonte,1046
Outubro,Aurora,1484
Dezembro,Horizonte,1000
Fevereiro,Planalto,338
Outubro,Litoral,1327
Abril,Aurora,245
Agosto,Progresso,647
Julho,Planalto,1907
Dezembro,Aurora,1595
Setembro,Progresso,566
Agosto,Aurora,1708
Maio,Horizonte,1915
Fevereiro,Aurora,914
Maio,Aurora,1191
Agosto,Aurora,855
Outubro,Planalto,1982
Setembro,Aurora,1232
Dezembro,Progresso,864
Dezembro,Horizonte,277
Dezembro,Horizonte,1950
Setembro,Aurora,265
Janeiro,Planalto,997
Setembro,Planalto,1769
Julho,Progresso,64
Setembro,Aurora,1230
Agosto,Horizonte,1721
Janeiro,Planalto,1334
Dezembro,Aurora,1230
Agosto,Planalto,96
Agosto,Planalto,373
Novembro,Horizonte,893
Marco,Litoral,1758
Janeiro,Progresso,179
Agosto,Progresso,1484
Marco,Horizonte,144
Marco,Planalto,676
Janeiro,Aurora,804
Novembro,Planalto,1365
Maio,Horizonte,843
Outubro,Progresso,1884
Julho,Planalto,1356
Outubro,Progresso,118
Setembro,Aurora,1733
Dezembro,Progresso,60
Julho,Progresso,1327
Setembro,Litoral,1915
Agosto,Litoral,921
Dezembro,Litoral,599
Fevereiro,Progresso,1207
Janeiro,Horizonte,761
Julho,Progresso,72
Julho,Horizonte,864
Agosto,Horizonte,395
Maio,Litoral,351
Marco,Planalto,412
Dezembro,Aurora,445
Agosto,Litoral,267
Junho,Litoral,190
Novembro,Planalto,1689
Marco,Aurora,1007
Janeiro,Progresso,1283
Marco,Progresso,1034
Maio,Litoral,1042
Marco,Aurora,1696
Janeiro,Litoral,1689
Maio,Horizonte,877
Outubro,Litoral,732
Julho,Litoral,1533
Julho,Progresso,1053
Novembro,Progresso,405
Setembro,Progresso,1057
Outubro,Horizonte,1397
Outubro,Progresso,1206
Dezembro,Aurora,937
Marco,Planalto,1878
Julho,Aurora,1913
Janeiro,Aurora,176
Abril,Progresso,1179
Abril,Planalto,1058
Maio,Planalto,653
Julho,Planalto,1872
Julho,Horizonte,1451
Novembro,Progresso,1978
Abril,Planalto,1063
Julho,Horizonte,100
Novembro,Litoral,1102
Marco,Litoral,1535
Junho,Horizonte,1369
Dezembro,Horizonte,1370
Fevereiro,Progresso,1799
Outubro,Progresso,828
Setembro,Litoral,1480
Maio,Planalto,1842
Junho,Litoral,863
Dezembro,Planalto,1686
Dezembro,Planalto,1478
Dezembro,Progresso,1419
Dezembro,Aurora,1695
Abril,Aurora,469
Novembro,Horizonte,1255
