Mes,Subestacao,Consumo(kWh)
Julho,Planalto,1868
Abril,Planalto,1360
Novembro,Planalto,524
Agosto,Progresso,667
Maio,Litoral,690
Julho,Progresso,311
Outubro,Horizonte,1596
Marco,Progresso,211
Julho,Progresso,1560
Novembro,Aurora,230
Novembro,Aurora,774
Agosto,Aurora,518
Maio,Progresso,1859
Abril,Litoral,70
Agosto,Horizonte,1348
Agosto,Horizonte,309
Marco,Litoral,1406
Junho,Litoral,515
Maio,Horizonte,1189
Fevereiro,Planalto,1486
Agosto,Aurora,586
Dezembro,Aurora,1001
Junho,Horizonte,1918
Fevereiro,Litoral,815
Dezembro,Planalto,1008
Maio,Horizonte,1996
Janeiro,Aurora,1796
Dezembro,Progresso,1890
Outubro,Litoral,1906
Junho,Progresso,983
Dezembro,Horizonte,900
Setembro,Aurora,1330
Janeiro,Planalto,1241
Novembro,Progresso,1922
Novembro,Planalto,582
Outubro,Aurora,1671
Dezembro,Progresso,64
Dezembro,Planalto,99
Marco,Planalto,1048
Dezembro,Progresso,353
Julho,Aurora,1560
Abril,Planalto,465
Setembro,Horizonte,354
Marco,Progresso,245
Maio,Litoral,1949
Marco,Litoral,862
Julho,Aurora,849
Maio,Horizonte,437
Setembro,Planalto,806
Julho,Litoral,1938
Fevereiro,Aurora,504
Abril,Horizonte,762
Setembro,Horizonte,754
Dezembro,Aurora,897
Fevereiro,Aurora,1731
Outubro,Planalto,1383
Setembro,Aurora,1200
Outubro,Planalto,224
Maio,Planalto,1207
Fevereiro,Progresso,1139
Abril,Horizonte,1466
Dezembro,Horizonte,1438
Dezembro,Horizonte,328
Julho,Progresso,807
Dezembro,Planalto,412
Agosto,Planalto,1822
Marco,Aurora,220
Janeiro,Progresso,1124
Abril,Aurora,1401
Fevereiro,Progresso,1944
Agosto,Aurora,714
Abril,Litoral,641
Fevereiro,Horizonte,980
Junho,Horizonte,1218
Junho,Planalto,323
Outubro,Litoral,1228
Abril,Horizonte,1984
Junho,Planalto,557
Fevereiro,Litoral,1922
Outubro,Horizonte,412
Dezembro,Aurora,1398
Fevereiro,Progresso,897
Outubro,Litoral,704
Abril,Planalto,347
Agosto,Litoral,543
Julho,Planalto,595
Dezembro,Litoral,353
Setembro,Planalto,1540
Agosto,Horizonte,953
Maio,Aurora,288
Fevereiro,Horizonte,699
Maio,Aurora,1839
Agosto,Horizonte,1590
Outubro,Horizonte,933
Setembro,Litoral,1249
Dezembro,Progresso,1958
Dezembro,Planalto,459
Dezembro,Planalto,775
Setembro,Planalto,1437
Janeiro,Aurora,1096
Setembro,Planalto,367
Julho,Planalto,574
Setembro,Litoral,954
Agosto,Horizonte,1826
Janeiro,Planalto,1349
Dezembro,Progresso,1073
Agosto,Planalto,1677
Agosto,Aurora,669
Novembro,Aurora,1002
Marco,Aurora,1302
Janeiro,Planalto,1737
Agosto,Litoral,1181
Marco,Progresso,850
Marco,Planalto,965
Janeiro,Litoral,1249
Novembro,Litoral,369
Maio,Planalto,1359
Outubro,Planalto,925
Julho,Litoral,378
Outubro,Litoral,1950
Setembro,Litoral,802
Dezembro,Planalto,706
Julho,Litoral,1429
Setembro,Aurora,1087
Agosto,Planalto,1348
Dezembro,Aurora,120
Fevereiro,Horizonte,876
