Mes,Subestacao,Consumo(kWh)
Julho,Litoral,1077
Abril,Litoral,1908
Novembro,Horizonte,339
Agosto,Progresso,482
Maio,Aurora,520
Julho,Horizonte,1254
Outubro,Horizonte,1321
Marco,Planalto,677
Julho,Litoral,328
Novembro,Horizonte,926
Novembro,Horizonte,630
Agosto,Progresso,912
Maio,Progresso,303
Abril,Aurora,230
Agosto,Planalto,1903
Agosto,Aurora,730
Marco,Progresso,874
Junho,Litoral,1582
Maio,Progresso,1834
Fevereiro,Planalto,749
Agosto,Progresso,615
Dezembro,Planalto,1399
Junho,Planalto,1430
Fevereiro,Planalto,1898
Dezembro,Planalto,1723
Maio,Planalto,729
Janeiro,Litoral,440
Dezembro,Aurora,1688
Outubro,Horizonte,1158
Junho,Aurora,1390
Dezembro,Planalto,261
Setembro,Litoral,1588
Janeiro,Progresso,433
Novembro,Litoral,1764
Novembro,Planalto,391
Outubro,Litoral,1888
Dezembro,Litoral,893
Dezembro,Planalto,1111
Marco,Litoral,1584
Dezembro,Horizonte,469
Julho,Horizonte,800
Abril,Litoral,1242
Setembro,Progresso,1982
Marco,Planalto,1416
Maio,Horizonte,1899
Marco,Progresso,355
Julho,Litoral,1615
Maio,Progresso,751
Setembro,Aurora,918
Julho,Horizonte,586
Fevereiro,Litoral,1185
Abril,Planalto,1484
Setembro,Litoral,255
Dezembro,Planalto,1258
Fevereiro,Litoral,1455
Outubro,Progresso,545
Setembro,Progresso,1452
Outubro,Progresso,1120
Maio,Aurora,1959
Fevereiro,Planalto,1813
Abril,Progresso,1624
Dezembro,Aurora,1601
Dezembro,Planalto,553
Julho,Litoral,1095
Dezembro,Aurora,262
Agosto,Horizonte,359
Marco,Aurora,710
Janeiro,Aurora,802
Abril,Planalto,321
Fevereiro,Litoral,1644
Agosto,Horizonte,1872
Abril,Progresso,987
Fevereiro,Progresso,1275
Junho,Aurora,81
Junho,Planalto,492
Outubro,Planalto,211
Abril,Progresso,816
Junho,Horizonte,303
Fevereiro,Litoral,570
Outubro,Horizonte,1026
Dezembro,Litoral,1724
Fevereiro,Progresso,1553
Outubro,Litoral,59
Abril,Planalto,775
Agosto,Aurora,554
Julho,Aurora,834
Dezembro,Progresso,1909
Setembro,Planalto,1633
Agosto,Horizonte,485
Maio,Planalto,1184
Fevereiro,Aurora,202
Maio,Aurora,1708
Agosto,Planalto,966
Outubro,Planalto,918
Setembro,Aurora,1175
Dezembro,Horizonte,802
Dezembro,Progresso,1906
Dezembro,Progresso,1264
Setembro,Planalto,1802
Janeiro,Progresso,612
Setembro,Aurora,1877
Julho,Aurora,1154
Setembro,Planalto,538
Agosto,Planalto,944
Janeiro,Planalto,1161
Dezembro,Horizonte,1267
Agosto,Progresso,153
Agosto,Planalto,1856
Novembro,Litoral,1169
Marco,Litoral,1496
Janeiro,Aurora,1964
Agosto,Progresso,1271
Marco,Planalto,1074
Marco,Litoral,1056
Janeiro,Progresso,456
Novembro,Aurora,1451
Maio,Horizonte,216
Outubro,Progresso,558
Julho,Progresso,1711
Outubro,Horizonte,362
Setembro,Progresso,1666
Dezembro,Aurora,1491
Julho,Aurora,812
Setembro,Horizonte,730
Agosto,Planalto,526
Dezembro,Litoral,122
Fevereiro,Planalto,1214
Janeiro,Progresso,631
Julho,Litoral,311
Julho,Horizonte,1413
Agosto,Horizonte,1381
Maio,Litoral,294
Marco,Aurora,1588
Dezembro,Litoral,1410
Agosto,Progresso,1648
Junho,Aurora,610
Novembro,Horizonte,1149
Marco,Litoral,1953
Janeiro,Planalto,224
Marco,Planalto,158
Maio,Progresso,232
Marco,Planalto,241
Janeiro,Litoral,114
Maio,Litoral,1922
Outubro,Planalto,1012
Julho,Litoral,1547
Julho,Progresso,1856
Novembro,Aurora,1173
Setembro,Progresso,1617
Outubro,Progresso,913
Outubro,Litoral,1201
Dezembro,Aurora,1525
Marco,Litoral,1987
Julho,Horizonte,418
Janeiro,Litoral,900
Abril,Litoral,92
Abril,Litoral,1957
Maio,Aurora,1492
Julho,Litoral,537
Julho,Aurora,127
Novembro,Planalto,875
Abril,Horizonte,1874
Julho,Aurora,1343
Novembro,Planalto,723
Marco,Aurora,750
Junho,Aurora,808
Dezembro,Horizonte,1973
Fevereiro,Progresso,777
Outubro,Progresso,1388
Setembro,Aurora,974
Maio,Litoral,1924
Junho,Planalto,951
Dezembro,Litoral,938
Dezembro,Litoral,1042
Dezembro,Aurora,1241
Dezembro,Aurora,388
Abril,Aurora,242
Novembro,Aurora,1526
Outubro,Progresso,332
Julho,Aurora,1409
Dezembro,Progresso,439
Setembro,Progresso,1049
Julho,Aurora,574
Janeiro,Horizonte,1313
Janeiro,Planalto,1905
Setembro,Litoral,1556
Novembro,Progresso,708
Setembro,Planalto,765
