Mes,Subestacao,Consumo(kWh)
Julho,Aurora,269
Abril,Aurora,1639
Novembro,Aurora,904
Agosto,Planalto,1809
Maio,Horizonte,1298
Julho,Horizonte,434
Outubro,Aurora,1476
Marco,Horizonte,1711
Julho,Horizonte,1203
Novembro,Aurora,1126
Novembro,Horizonte,1757
Agosto,Progresso,779
Maio,Litoral,1745
Abril,Litoral,1783
Agosto,Aurora,1489
Agosto,Planalto,296
Marco,Aurora,885
Junho,Planalto,1512
Maio,Litoral,252
Fevereiro,Aurora,1257
Agosto,Progresso,172
Dezembro,Horizonte,450
Junho,Planalto,816
Fevereiro,Horizonte,343
Dezembro,Horizonte,329
Maio,Aurora,1910
Janeiro,Horizonte,933
Dezembro,Progresso,1683
Outubro,Horizonte,247
Junho,Aurora,1031
Dezembro,Progresso,1980
Setembro,Litoral,1584
Janeiro,Horizonte,801
Novembro,Aurora,193
Novembro,Litoral,658
Outubro,Litoral,1274
Dezembro,Planalto,1197
Dezembro,Progresso,236
Marco,Horizonte,1399
Dezembro,Aurora,513
Julho,Planalto,1422
Abril,Progresso,1844
Setembro,Planalto,709
Marco,Progresso,813
Maio,Progresso,1004
Marco,Horizonte,452
Julho,Progresso,1419
Maio,Planalto,1584
Setembro,Progresso,196
Julho,Horizonte,1221
Fevereiro,Horizonte,913
Abril,Planalto,1784
Setembro,Litoral,1893
Dezembro,Litoral,538
Fevereiro,Progresso,978
Outubro,Aurora,1713
Setembro,Progresso,600
Outubro,Planalto,387
Maio,Planalto,921
Fevereiro,Planalto,690
Abril,Planalto,1852
Dezembro,Planalto,522
Dezembro,Horizonte,200
Julho,Litoral,1488
Dezembro,Planalto,1371
Agosto,Aurora,1684
Marco,Aurora,312
Janeiro,Aurora,1837
Abril,Aurora,193
Fevereiro,Horizonte,395
Agosto,Aurora,673
Abril,Planalto,1066
Fevereiro,Progresso,1645
Junho,Aurora,930
Junho,Horizonte,51
Outubro,Horizonte,946
Abril,Aurora,1377
Junho,Progresso,303
Fevereiro,Aurora,1725
Outubro,Horizonte,502
Dezembro,Litoral,1110
Fevereiro,Planalto,1233
Outubro,Horizonte,1064
Abril,Aurora,58
Agosto,Planalto,1306
Julho,Aurora,1172
Dezembro,Aurora,1732
Setembro,Litoral,865
Agosto,Planalto,257
Maio,Planalto,1204
Fevereiro,Litoral,453
Maio,Horizonte,201
Agosto,Aurora,103
Outubro,Progresso,1193
Setembro,Aurora,1746
Dezembro,Aurora,1993
Dezembro,Horizonte,677
Dezembro,Aurora,636
Setembro,Litoral,1698
Janeiro,Litoral,1493
